State	X2020.11.28	X2020.11.27	X2020.11.26	X2020.11.25	X2020.11.24	X2020.11.23	X2020.11.22	X2020.11.21	X2020.11.20	X2020.11.19	X2020.11.18	X2020.11.17	X2020.11.16	X2020.11.15	X2020.11.14	X2020.11.13	X2020.11.12	X2020.11.11	X2020.11.10	X2020.11.09	X2020.11.08	X2020.11.07	X2020.11.06	X2020.11.05	X2020.11.04	X2020.11.03	X2020.11.02	X2020.11.01	X2020.10.31	X2020.10.30	X2020.10.29	X2020.10.28	X2020.10.27	X2020.10.26	X2020.10.25	X2020.10.24	X2020.10.23	X2020.10.22	X2020.10.21	X2020.10.20	X2020.10.19	X2020.10.18	X2020.10.17	X2020.10.16	X2020.10.15	X2020.10.14	X2020.10.13	X2020.10.12	X2020.10.11	X2020.10.10	X2020.10.09	X2020.10.08	X2020.10.07	X2020.10.06	X2020.10.05	X2020.10.04	X2020.10.03	X2020.10.02	X2020.10.01	X2020.09.30	X2020.09.29	X2020.09.28	X2020.09.27	X2020.09.26	X2020.09.25	X2020.09.24	X2020.09.23	X2020.09.22	X2020.09.21	X2020.09.20	X2020.09.19	X2020.09.18	X2020.09.17	X2020.09.16	X2020.09.15	X2020.09.14	X2020.09.13	X2020.09.12	X2020.09.11	X2020.09.10	X2020.09.09	X2020.09.08	X2020.09.07	X2020.09.06	X2020.09.05	X2020.09.04	X2020.09.03	X2020.09.02	X2020.09.01	X2020.08.31	X2020.08.30	X2020.08.29	X2020.08.28	X2020.08.27	X2020.08.26	X2020.08.25	X2020.08.24	X2020.08.23	X2020.08.22	X2020.08.21	X2020.08.20	X2020.08.19	X2020.08.18	X2020.08.17	X2020.08.16	X2020.08.15	X2020.08.14	X2020.08.13	X2020.08.12	X2020.08.11	X2020.08.10	X2020.08.09	X2020.08.08	X2020.08.07	X2020.08.06	X2020.08.05	X2020.08.04	X2020.08.03	X2020.08.02	X2020.08.01	X2020.07.31	X2020.07.30	X2020.07.29	X2020.07.28	X2020.07.27	X2020.07.26	X2020.07.25	X2020.07.24	X2020.07.23	X2020.07.22	X2020.07.21	X2020.07.20	X2020.07.19	X2020.07.18	X2020.07.17	X2020.07.16	X2020.07.15	X2020.07.14	X2020.07.13	X2020.07.12	X2020.07.11	X2020.07.10	X2020.07.09	X2020.07.08	X2020.07.07	X2020.07.06	X2020.07.05	X2020.07.04	X2020.07.03	X2020.07.02	X2020.07.01	X2020.06.30	X2020.06.29	X2020.06.28	X2020.06.27	X2020.06.26	X2020.06.25	X2020.06.24	X2020.06.23	X2020.06.22	X2020.06.21	X2020.06.20	X2020.06.19	X2020.06.18	X2020.06.17	X2020.06.16	X2020.06.15	X2020.06.14	X2020.06.13	X2020.06.12	X2020.06.11	X2020.06.10	X2020.06.09	X2020.06.08	X2020.06.07	X2020.06.06	X2020.06.05	X2020.06.04	X2020.06.03	X2020.06.02	X2020.06.01	X2020.05.31	X2020.05.30	X2020.05.29	X2020.05.28	X2020.05.27	X2020.05.26	X2020.05.25	X2020.05.24	X2020.05.23	X2020.05.22	X2020.05.21	X2020.05.20	X2020.05.19	X2020.05.18	X2020.05.17	X2020.05.16	X2020.05.15	X2020.05.14	X2020.05.13	X2020.05.12	X2020.05.11	X2020.05.10	X2020.05.09	X2020.05.08	X2020.05.07	X2020.05.06	X2020.05.05	X2020.05.04	X2020.05.03	X2020.05.02	X2020.05.01	X2020.04.30	X2020.04.29	X2020.04.28	X2020.04.27	X2020.04.26	X2020.04.25	X2020.04.24	X2020.04.23	X2020.04.22	X2020.04.21	X2020.04.20	X2020.04.19	X2020.04.18	X2020.04.17	X2020.04.16	X2020.04.15	X2020.04.14	X2020.04.13	X2020.04.12	X2020.04.11	X2020.04.10	X2020.04.09	X2020.04.08	X2020.04.07	X2020.04.06	X2020.04.05	X2020.04.04	X2020.04.03	X2020.04.02	X2020.04.01	X2020.03.31	X2020.03.30	X2020.03.29	X2020.03.28	X2020.03.27	X2020.03.26	X2020.03.25	X2020.03.24	X2020.03.23	X2020.03.22	X2020.03.21	X2020.03.20	X2020.03.19	X2020.03.18	X2020.03.17	X2020.03.16	X2020.03.15	X2020.03.14	X2020.03.13	X2020.03.12	X2020.03.11	X2020.03.10	X2020.03.09	X2020.03.08	X2020.03.07	X2020.03.06	X2020.03.05	X2020.03.04	X2020.03.03	X2020.03.02	X2020.03.01	X2020.02.29	X2020.02.28	X2020.02.27	X2020.02.26	X2020.02.25	X2020.02.24	X2020.02.23	X2020.02.22	X2020.02.21	X2020.02.20	X2020.02.19	X2020.02.18	X2020.02.17	X2020.02.16	X2020.02.15	X2020.02.14	X2020.02.13	X2020.02.12	X2020.02.11	X2020.02.10	X2020.02.09	X2020.02.08	X2020.02.07	X2020.02.06	X2020.02.05	X2020.02.04	X2020.02.03	X2020.02.02	X2020.02.01	X2020.01.31	X2020.01.30	X2020.01.29	X2020.01.28	X2020.01.27	X2020.01.26	X2020.01.25	X2020.01.24	X2020.01.23	X2020.01.22	X2020.01.21
Alabama	244993	242874	241957	239318	236865	234080	232506	230708	228373	225910	223486	220848	219232	217822	215843	213617	210637	208637	206567	204857	203687	202482	200714	199158	197777	195929	194892	193985	192285	190496	189149	187706	186437	185322	184355	183276	180916	177064	175674	174528	173485	172626	171662	170374	169162	167977	167193	166076	165342	164526	163465	161975	161418	160477	159713	159169	158380	156698	155744	154701	153554	152983	152321	151591	150658	148206	147153	146584	145780	144962	144164	142863	141757	141087	140160	139459	138755	137646	136703	135565	134417	133606	132973	132314	131803	130393	129285	128239	127616	126058	125235	123889	122185	121023	119254	117242	116710	115060	114532	113632	112449	111478	110361	109004	108433	107580	106309	105557	104786	103851	103020	101334	100173	98301	96592	94654	93702	92661	91444	89349	87723	85762	83782	82366	81115	79294	78130	76005	74212	71813	70358	68891	67011	65234	63091	61088	59067	57255	55545	53587	51947	50508	49174	46962	45785	44878	43953	42862	41865	40111	38962	38045	37175	35441	35083	34183	33206	32064	31097	30454	30021	29549	29002	28206	27312	26912	26272	25615	24601	23710	22845	21989	21422	20925	20500	20043	19387	19072	18851	18771	18534	17952	17359	17031	16530	16032	15650	14986	14478	14149	13670	13414	13052	12376	12086	11771	11674	11373	11101	10700	10464	10164	9889	9668	9385	9046	8691	8437	8112	7888	7611	7294	7068	6925	6750	6539	6421	6213	6026	5832	5610	5327	5078	4903	4723	4572	4404	4241	3953	3805	3583	3262	3008	2838	2498	2197	2005	1840	1632	1535	1270	1108	999	947	830	720	639	538	386	242	196	157	131	106	78	51	39	29	23	12	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arizona	322774	318695	314326	311727	307943	303188	299698	296997	292880	288807	284554	281284	277179	275523	273400	270596	266644	265195	263445	260646	259299	257384	254961	252843	250853	249841	248293	247484	245962	244099	242510	241259	240158	239193	238200	236898	235910	234914	233948	232939	231933	231149	230412	229508	228748	227660	226749	226072	225575	224985	224101	223407	222558	221937	221091	220757	220403	219778	219214	218511	218185	217513	217237	216826	216367	215852	215284	214846	214251	214018	213551	213551	211663	209911	209215	208726	208514	208128	207525	207002	206548	206048	205971	205772	205518	204686	203964	202898	202375	201866	201695	201317	200694	200172	199495	199293	198421	198117	197909	196925	196305	195568	194931	194027	193554	192670	191810	190850	189522	188780	187634	187086	186226	185104	183744	182230	180537	179506	178473	177019	174108	170905	168361	165994	163918	162041	160055	156392	153029	150659	148730	145320	143644	141333	138575	134730	131411	128126	123917	122479	119991	116947	112783	108710	105159	101542	98126	94616	91894	87495	84152	79399	74602	73961	70152	66676	63297	60207	58397	54767	52666	50198	46914	43731	41159	39298	37005	35953	34773	33167	31525	29981	28396	27761	26924	25517	24369	22818	22245	21250	20123	19936	19255	18465	17763	17262	16783	16561	16339	16040	15608	15315	14897	14566	14170	13937	13631	13169	12674	12176	11736	11380	11119	10960	10526	9945	9707	9305	8919	8640	8364	7962	7648	7202	6948	6716	6526	6280	6045	5769	5459	5251	5064	4929	4719	4507	4234	3962	3806	3702	3539	3393	3112	3018	2726	2577	2466	2269	2019	1769	1600	1413	1298	1169	930	773	665	508	402	326	234	153	104	70	47	28	20	18	13	12	9	9	9	6	6	5	5	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0
Arkansas	155026	153677	152625	150277	148312	146190	145173	143821	141916	139855	137617	135902	134348	133040	132166	130318	128006	126197	124235	122811	121866	120828	119230	117360	115812	114519	113641	113057	112190	110874	109712	108640	107679	106727	106115	105318	104135	102798	101596	100441	99597	99066	98422	97539	96524	95246	94167	93487	92833	92220	91312	90145	88880	88071	87430	87013	86525	85779	84821	83697	82755	82049	81242	80755	79946	79049	77963	76981	76364	75723	75160	74082	73211	72219	71497	70627	70219	69710	68987	67803	67255	66757	66280	65924	65226	64678	63504	62112	61497	61224	60856	60378	59583	58745	58023	57374	56894	56574	56199	55652	54765	54216	53487	53077	52665	51992	51992	51766	51114	50411	50028	49383	48811	48039	47028	46293	45381	44597	43810	43173	42511	41759	40968	40181	39447	38623	37981	37249	36259	35246	34655	33927	33228	32533	31762	31114	30297	29733	28939	28367	27864	26803	26052	25246	24512	24253	23814	23209	22622	22075	21197	20777	20257	19818	19310	18740	18062	17375	16678	16083	15561	15142	14631	13928	13606	13191	12917	12501	12095	11547	10816	10368	10080	9740	9426	9101	8651	8425	8067	7818	7443	7253	7013	6777	6538	6277	6180	6029	5922	5775	5612	5458	5003	4923	4813	4759	4578	4463	4366	4236	4164	4043	4012	3747	3747	3694	3611	3525	3469	3431	3372	3310	3281	3207	3127	3069	3001	2909	2810	2599	2392	2262	1971	1781	1777	1695	1620	1599	1498	1475	1280	1228	1202	1146	1077	997	927	853	743	738	683	624	564	508	449	409	385	350	307	231	201	165	118	100	62	33	22	22	16	9	7	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
California	1206278	1193071	1176137	1167149	1153005	1136346	1118652	1109844	1096401	1082674	1069517	1058096	1047360	1035981	1027016	1019052	1009187	999498	994341	985598	978844	972801	967597	960884	954624	949383	944141	938883	935248	931826	926893	922680	918627	913699	909344	906644	902325	896424	890153	887093	882665	878394	876257	874101	870380	867094	863614	859959	857076	854302	851228	847384	843732	840322	837720	834635	831494	828364	824306	821125	817939	814796	811698	809214	805733	801671	798350	795077	792217	788077	785076	781436	776944	773318	769917	767062	763389	760581	757125	753017	749196	746113	742689	740233	737073	732691	727398	722035	716628	712541	706589	702499	698389	692962	687612	682320	676236	669944	665325	659991	653401	646742	640499	634991	628508	621981	613243	603212	595097	586078	574267	563244	556158	548142	541013	532776	527258	522235	515937	509507	502273	494269	486039	474951	467103	459338	453327	443096	433175	422528	410366	400195	391460	383194	374922	364761	355497	346593	336206	327676	320030	311505	303516	296304	287766	277869	271587	265176	256298	248198	239764	232153	223995	216955	211453	207027	201413	195889	191039	184620	178807	174854	170843	167135	163381	159131	155662	152953	150434	147285	143709	140139	137245	134287	131997	129147	126510	122917	120407	118081	115643	113114	110100	107043	104071	101873	99924	97017	94743	92815	90801	88488	86125	83981	81943	80366	78933	77015	74947	73218	71150	69514	68051	66824	64616	62481	60787	58848	56333	55072	53753	52318	50470	48904	46570	45208	43691	42590	41368	39534	37573	35844	33862	31544	30829	29398	28142	27107	25758	24334	23323	22421	21366	20191	19043	17540	16361	15202	13796	12569	11190	9857	8583	7421	6321	5566	4915	4060	3183	2644	2240	1851	1544	1283	1067	893	732	588	478	381	320	252	202	179	172	112	100	81	67	55	45	38	33	28	27	26	26	11	11	9	9	9	8	7	7	7	7	7	7	7	7	7	7	6	6	6	6	6	6	6	6	3	3	2	2	2	2	2	1	0	0	0	0
Colorado	226567	222544	217655	212416	207882	203578	199296	195220	190100	184260	178224	173220	168890	164408	160459	155761	149262	143553	139246	135747	131870	128611	125397	122170	118356	115364	112821	110640	107844	104927	102665	100614	99111	97686	95742	93989	92067	90639	89245	87966	86727	85803	84804	83712	82443	81205	80414	79499	78752	78047	77068	76186	75410	74535	74029	73389	72929	72454	71723	71090	70458	69967	69472	68973	68506	67745	67186	66552	65936	65248	64694	64277	63613	63068	62575	62032	61641	61311	60881	60576	60291	60003	59823	59626	59362	59021	58680	58392	58118	57797	57515	57326	57158	56706	56346	56176	55700	55441	54939	54658	54285	53943	53674	53391	53188	52868	52587	52242	51847	51487	51104	50799	50491	50081	49633	49143	48492	48119	47799	47357	46948	46338	45885	45420	44723	44364	43847	43098	42409	41747	41152	40649	40182	39811	39409	38817	38240	37761	37303	36933	36633	36210	35604	35185	34717	34316	34100	33900	33607	33335	33012	32698	32495	32290	32006	31780	31463	31139	30877	30689	30524	30334	30172	29886	29658	29427	29284	29115	29002	28807	28632	28484	28333	28169	27987	27834	27601	27346	27046	26774	26563	26364	26084	25602	25116	24775	24553	24256	24140	23932	23456	23161	22769	22454	22174	21909	21604	21207	20813	20442	20103	19793	19595	19267	18719	18264	17720	17256	16799	16527	16118	15661	15207	14680	14239	13804	13440	12967	12255	11262	10878	10447	10106	9730	9433	9047	8675	8280	7941	7691	7303	6893	6510	6202	5655	5429	5172	4950	4574	4182	3728	3346	2990	2628	2315	2061	1735	1432	1086	912	721	591	475	364	278	216	183	161	136	103	78	49	34	17	12	8	8	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Connecticut	112581	112581	109152	109152	107280	106740	101469	101469	101469	99381	97028	94986	93284	88645	88645	88645	85899	84741	82987	81463	78125	78125	78125	77060	75373	74843	73858	71207	71207	71207	70446	69127	68637	68099	66052	66052	66052	65373	64871	64455	64021	62830	62830	62830	62028	61861	61697	61377	60038	60038	60038	59748	59364	59241	59120	58297	58297	58297	57742	57550	57329	57147	56587	56587	56587	56472	56315	56160	56024	55527	55527	55527	55386	55166	55031	54895	54326	54326	54326	54093	53871	53782	53365	53365	53365	53365	53209	53108	53006	52879	52495	52495	52495	52350	52220	52040	52011	51519	51519	51519	51432	51314	51255	51255	50897	50897	50897	50782	50706	50684	50567	50320	50320	50320	50245	50225	50110	50062	49810	49810	49810	49670	49540	49077	48983	48776	48776	48776	48232	48223	48096	48055	47893	47893	47893	47750	47636	47530	47510	47287	47287	47287	47209	47108	47033	46976	46717	46717	46717	46646	46572	46514	46362	46303	46206	46059	45994	45913	45899	45782	45755	45715	45557	45440	45429	45349	45235	45088	44994	44689	44461	44347	44179	44092	43968	43818	43460	43239	43091	42979	42740	42201	42022	41762	41559	41288	41288	40873	40468	40022	39640	39208	39017	38430	38116	37419	36703	36085	35464	34855	34333	33765	33554	32984	32411	31784	30995	30621	29973	29287	29287	28764	27700	26767	26312	25997	25269	24582	23921	23100	22469	20360	19815	17962	17550	16809	15884	14755	13989	13381	12035	11510	10538	9784	8781	7781	6906	5675	5276	4915	3824	3557	3128	2571	1993	1524	1291	1012	875	618	415	327	223	194	159	96	68	41	26	20	11	6	3	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Delaware	34670	34170	33579	32995	32664	32211	31808	31321	30816	30153	29755	29552	29200	28803	28395	28016	27546	27342	27112	26908	26603	26258	26035	25753	25534	25426	25311	25126	24951	24751	24553	24392	24249	24168	23961	23847	23687	23528	23375	23325	23196	23093	22942	22724	22560	22465	22394	22289	22130	21998	21827	21682	21550	21466	21363	21243	21125	20937	20787	20613	20531	20389	20260	20156	20085	19947	19830	19761	19667	19566	19449	19366	19318	19234	19137	18937	18849	18726	18559	18466	18308	18308	18249	18043	17892	17752	17653	17549	17535	17429	17343	17343	17083	16976	16976	16962	16942	16895	16828	16770	16718	16643	16593	16536	16451	16396	16340	15967	15765	15699	15634	15575	15502	15445	15365	15296	15137	15055	14949	14877	14788	14689	14602	14476	14406	14290	14175	14175	13924	13792	13746	13624	13519	13429	13337	13114	13050	12969	12879	12804	12743	12652	12531	12462	12414	12293	12128	11996	11923	11731	11510	11474	11376	11226	11091	11017	10980	10889	10847	10820	10775	10681	10611	10499	10444	10403	10340	10264	10229	10173	10106	10056	10020	9972	9942	9845	9773	9746	9712	9685	9605	9498	9422	9236	9171	9096	9066	8965	8809	8690	8529	8386	8194	8037	7869	7670	7547	7373	7223	6952	6741	6565	6447	6277	6083	5939	5778	5371	5288	5208	5038	4918	4734	4655	4575	4162	4034	3576	3442	3308	3200	2931	2745	2538	2538	2323	2075	2014	1926	1761	1625	1479	1326	1209	1116	928	783	673	593	450	393	368	319	264	232	214	165	143	119	104	87	56	45	39	30	26	16	8	7	4	4	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DistrictofColumbia	21308	20937	20736	20516	20409	20290	20151	19961	19808	19678	19465	19309	19064	18977	18814	18666	18507	18379	18173	18087	18001	17891	17792	17682	17601	17524	17438	17369	17266	17144	17074	16973	16906	16812	16767	16706	16609	16537	16498	16445	16395	16370	16334	16255	16166	16132	16068	16022	15984	15918	15843	15765	15697	15652	15547	15519	15473	15423	15358	15326	15300	15264	15250	15215	15163	15106	15050	15021	14978	14955	14902	14852	14790	14743	14687	14622	14592	14552	14493	14412	14387	14362	14315	14279	14238	14186	14135	14077	14049	13992	13959	13925	13851	13794	13722	13684	13639	13590	13534	13469	13409	13354	13325	13273	13220	13159	13118	13024	12959	12896	12807	12753	12653	12589	12518	12443	12398	12313	12274	12205	12126	12057	11999	11945	11858	11780	11717	11649	11571	11529	11427	11339	11261	11194	11115	11076	11026	10946	10906	10847	10801	10743	10679	10642	10569	10515	10482	10447	10435	10390	10365	10327	10292	10248	10216	10185	10159	10128	10094	10058	10020	9984	9952	9903	9847	9818	9799	9767	9709	9654	9589	9537	9474	9389	9332	9269	9199	9120	9016	8886	8857	8801	8717	8538	8492	8406	8334	8225	8110	7966	7893	7788	7551	7434	7270	7123	7042	6871	6736	6584	6485	6389	6272	6102	5899	5654	5461	5322	5170	5016	4797	4658	4323	4106	3994	3892	3841	3699	3528	3361	3206	3098	2927	2793	2666	2476	2350	2197	2058	1955	1875	1778	1660	1523	1440	1211	1097	998	902	757	653	586	495	401	342	304	267	231	183	137	116	98	77	71	39	36	31	22	17	16	10	10	10	4	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Florida	985289	979012	961668	961668	953292	944737	938406	931819	923410	914325	905240	897315	889856	885193	875088	870544	863611	858004	852166	847813	843889	837069	832617	827372	821115	816692	812055	807404	802539	800208	794616	790418	786303	782005	778628	776243	771772	768083	762525	760381	756719	755012	752473	748429	744980	741624	738741	736016	734483	728913	728913	726005	722699	720117	717866	716451	714583	711796	709136	706508	704560	701294	700556	698674	695879	693032	690491	687901	685431	683746	681225	677652	674448	671193	668838	665722	663986	661563	658373	654723	652140	650084	648261	646423	643859	640203	637005	633434	631032	623463	621578	618995	615798	611983	608714	605494	602821	600563	597589	593278	588594	584039	579924	576086	573408	569629	563277	557129	550893	542784	536953	532798	526569	518067	510381	502731	497322	491876	487124	480020	470378	461371	451415	441969	432739	423847	414503	402304	389860	379611	369826	360386	350039	337561	327233	315767	301802	291621	282427	269803	254503	244143	232710	223775	213786	206439	200103	190044	178586	169098	158989	152426	146333	141067	132537	122952	114010	109006	103495	100209	97283	93789	89740	85918	82711	80101	77318	75560	73544	70963	69061	67363	65992	64896	63930	62750	61480	60175	58756	57439	56822	56155	55416	54489	53277	52626	52247	51738	50859	50119	49443	48667	47463	46936	46434	45580	44803	44130	43202	42394	41915	40974	40588	39993	39191	38820	37994	37431	36889	36070	35455	34720	33683	33185	32838	32130	31520	30831	30525	29640	28301	27861	27050	26306	25484	24745	23332	22526	21620	21011	19855	18978	17960	16819	15690	14739	13621	12342	11537	10260	9000	7769	6742	5695	4943	4038	3198	2478	1971	1467	1222	1000	764	564	434	326	210	141	109	70	70	46	26	23	14	13	12	7	4	3	3	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Georgia	450627	447942	445204	441737	438441	434916	432954	430687	424759	421381	417934	414821	410581	409504	407596	404577	401750	398769	396498	392246	390617	389257	387202	384531	382113	378894	377261	373700	372631	370157	368840	367126	365498	364275	360344	359001	357319	355156	353449	351990	350654	348773	347468	345879	344093	342302	340758	339577	336586	335351	333934	332142	330769	329101	328127	306778	305941	304406	303010	301485	300019	298963	298321	297553	296089	294334	292797	290930	289975	289096	288059	286170	284219	282363	280356	278699	277715	276319	274242	272588	270624	268684	267238	266707	265215	263047	261056	258482	256544	254238	252813	251676	249317	247017	244494	241865	239612	237402	235783	233169	230288	227255	224681	221841	220165	218344	215328	212009	209683	205920	202276	200147	197308	193276	189300	186395	182462	179510	177556	174834	171342	167545	163547	160038	155907	153476	151262	147732	143857	139120	135865	132788	130794	128341	124267	120848	118147	114579	111937	108389	106574	103597	98693	96538	93707	91015	89489	87592	85079	82475	79589	77280	74816	72800	71066	69542	67796	66290	64577	62705	61493	60669	59117	58040	57217	56302	55505	54874	54178	53201	52332	51465	50769	49995	49371	48943	48280	47528	46711	46063	45757	45051	44336	43888	43363	42713	42066	41414	40989	40408	39734	38969	38162	37214	36634	35954	35655	35242	34422	33866	33311	32448	32267	31481	31089	30524	29724	28876	28350	27618	27268	26436	25431	24300	23607	23229	22459	22225	21575	20905	20099	19189	18447	17619	17014	16658	15644	14583	13913	13125	12103	12103	11859	10885	10204	9156	7558	6742	6383	5967	5444	4747	4116	3032	2683	2447	2198	1641	1385	1095	800	620	552	482	282	193	142	118	97	65	41	31	31	22	17	11	7	3	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
